id,topic,summary
0,Job interview,Chandler tells #The Interviewer# he was the point person on his company's transition from the KL-5 to GR-6 system. #The Interviewer# asks him about his duties. Chandler says he'll head a whole division and dump a certain amount on them.
1,Forget someone,#Rachel tells #Joey that she forgot about the date with the waitress.
2,Roommate problem,Monica tells Chandler that Chris says they're closing down the bar. Chandler wants a beer. Monica asks if he picked a roommate.
3,A poem,#Phoebe# tells #Chandler# that Monica's boyfriend wrote a poem about her. #Phoebe# thinks Monica is empty.
4,Paper route,#Ross# is on #Ross#'s paper route and #Rachel# is interviewing with a woman. #Rachel# is happy because #Ross# coached her. #Ross# is sorry #Ross# has been jealous of #Rachel#.
5,A foreigner,#Phoebe# introduces #Sergei# to #Joey# and #Phoebe# tells him that #Sergei# is a Russian. #Joey# is surprised.
6,Watch a movie,#Chandler# and #Joey# are watching the movie and #Chandler# is very satisfied with the movie. #Chandler# tells #Joey# the kangaroo scene was surprising. #Joey# is disappointed that they didn't take any of his suggestions.
7,Tell Rachel,#Joey# tells #Ross# that Rachel messed up her dessert. #Ross# thinks it's ridiculous.
8,Dying wish,#Chandler# gives #Phoebe# the ring. #Phoebe# wants to be buried with the ring. #Customer# wants to see the ring.
9,A new James bond poster,"#Jade# tells Chandler that she's been teaching aerobics, partying too much, and the new James Bond poster is her legs. #Chandler# asks her to meet him tomorrow afternoon at Central Perk. #Ross# thinks that when Bob doesn't show up, #Jade# will seek comfort in the open arms of the wry stranger at the next table."
10,A garbage can,#Phoebe# complains about the bucket. #Phoebe# thinks nobody respects the bucket.
11,Late for the wedding,#Ross# and Monica are late for the wedding. #Ross# tells #Monica# to watch the video of the wedding on the computer. #Phoebe# gives #Joey# a hug.
12,A hernia,#Joey's stomach hurts. #Joey thinks it's a hernia. #Chandler thinks it's a hernia and tells #Joey to go to the doctor. #Joey refuses.
13,A house,Ross introduces #Mona# to his house. #Mona# is impressed by the house.
14,Key to apartment,#Ross# gives #Mona# a key to his apartment and asks her to come to his apartment.
15,Break up,"Ross and Charlie break up because Ross thinks Joey is a homo erectus and Charlie thinks Ross is having feelings for someone else. Ross and Charlie are in the middle of a conversation, so they throw the professor Clerk in the pool."
16,Talk about the sand,#Ross# and #Rachel# are talking about the sand in the street. #Ross# thinks it's from the flood and #Rachel# thinks it's from the cat.
17,A diaper commercial,#Joey# is going to bash the blind guy's head in later. #Caitlin# is going to deliver the pizza and #Ross# will get it.
18,Throw the ball,Ross and Joey are throwing the ball back and forth. Ross thinks they can go two hours without dropping it. Joey thinks he has to go to the bathroom.
19,Going to a party,#Phoebe# and #Joey# meet at the coffee shop. #Phoebe# tells #Joey# she's not going to the party tonight and asks if he wants to go with her instead.
20,Joey's marriage,Joey tells Rachel that he and Erin had a great time. They have so much in common and they sleep together. Rachel is worried about Joey's marriage.
21,Sleeping problems,Ross and Monica are talking about Phoebe's sleeping problems. Phoebe thinks her grandmother's new boyfriend is insecure in bed and they're constantly having to reassure each other. Ross suggests Phoebe stay with Monica and Rachel tonight.
22,Water breaking,#Nurse# tells #Joey# that #Joey#'s water breaking. #Joey# is shocked and asks what it means.
23,Murder case,Monica and Chandler are talking about the murder case. Monica thinks that Joey is going to kill Chandler.
24,A fashion monger,#Rachel# and #Ross# are talking about #Ross#'s friend Mark. #Rachel# thinks Mark is funny and #Ross# likes having a friend that he can share this stuff with. #Ross# is nervous about what to wear.
25,Dance practice,Mr. Treeger and Joey are talking about the dance they did. Mr. Treeger tells Joey he thinks he's ready to dance with girls. Joey says he's good but doesn't want to dance with girls.
26,Casting for the movie,"Ross and Joey are called for the audition. Ross thinks it's a good sign that the casting director asked them to hang around after the audition, but Joey thinks it's weird because they'll be best friends."
27,Get married,"#Monica# tells #Chandler# she can't get married until she gets something old, something new, something borrowed, and something blue."
28,Apologize,#Ross# tells #Emily# he hurt three men because of #Ross#. #Emily# apologizes to #Ross# and thinks #Ross# has concussion. #Ross# thinks it's worth the pain.
29,Phoebe and david,"Monica and Chandler talk about the future of Phoebe and David. Monica thinks Phoebe will say ""No"" to David's proposal because she's hung up on Mike. Chandler thinks Phoebe will end up alone."
30,Get a girlfriend,Ross Geller asks Elizabeth's father Paul Stevens to get a girlfriend his own age. Elizabeth thinks Ross can change her father's mind but Ross thinks he can't. Ross gives him one minute to change his mind.
31,Watch a tape,#Joey# brings a tape for #The Dry Cleaner# to watch.
32,Tell a friend,#Phoebe# thinks Ross has to tell Uma Thurman about his hands. #Ross# thinks it's a feminist issue. #Joey# thinks it's a moral obligation and #Phoebe# thinks she'll hate Ross.
33,Charity event,Ross and Chandler are excited about the charity event they have to go to. They want to surprise #Chandler and ask him to marry them. They want to tell #Chandler the news before they go to the event.
34,Naked body,Ross is embarrassed by Rachel's naked body. Rachel thinks she is more secure than Ross.
35,Ride a bike,#Phoebe# tells #Ross# she rode a bike. #Ross# congratulates her.
36,Good luck,Ross and Chandler are talking about their good luck to have just one good friend. Ross thinks Joey is a baby.
37,Prototypes introduction,Monica introduces the prototypes to Joey.
38,Steal a sweater,Ross and Monica are talking about the stolen sweater. Ross is going to get it back.
39,The characters in the movie,#Joey# and #Kate# talk about their characters in the movie. #Joey# thinks #Kate#'s character is a bitch and #Kate# thinks #Joey#'s character is attracted to Victor.
40,Calling people,"Joey, Chandler, Monica, and Rachel are talking about calling Greg and Jenny. Rachel is afraid of food poisoning and calls the deli again."
41,Love and marriage,"Mr. Tribbiani tells Joey that he's been in love with Ronni, a pet mortician, for six years. Joey thinks Mr. Tribbiani is terrible. Mr. Tribbiani tells Joey that his dad's in love with two different women."
42,Call for help,Chandler calls Guru Saj for help. Guru Saj thinks the picture is a duck.
43,Work and life,Rachel tells Monica that Ross dropped by a box of her stuff. Monica thinks it's just a bunch of shampoo and Rachel tells her it's probably just a bunch of shampoo.
44,Bring the mesozoic era,Ross tells Charlie about the project of bringing the Mesozoic era in the 21st century.
45,Change name,Joey apologizes for his rude comment to Chandler. Chandler doesn't accept his apology and insists that he has to change his name.
46,The apartment game,"#Monica, Joey, Rachel, Chandler and Phoebe are playing the apartment game. They all have the same cards and they have to pick again. Monica thinks the cards are too high and she picks again. But they all have the same cards and they have to pick again."
47,Picking up the baby,Joey and Chandler are going to the airport to pick up Joey's baby. Joey tells Chandler he loves babies and wants to bring the baby. Chandler tells him he's great guys and wants to smell the baby.
48,Leaving for abroad,Rachel is leaving. She tells her friend she is going to the airport to catch a flight to London.
