Song,line,Surprise
0,"#topic#: Job interview
#summary#: Chandler tells #The Interviewer# he was the point person on his company's transition from the KL-5 to GR-6 system. #The Interviewer# asks him about his duties. Chandler says he'll head a whole division and dump a certain amount on them.
#sentence#: also I was the point person on my companys transition from the KL-5 to GR-6 system.
",0
0,"#topic#: Job interview
#summary#: Chandler tells #The Interviewer# he was the point person on his company's transition from the KL-5 to GR-6 system. #The Interviewer# asks him about his duties. Chandler says he'll head a whole division and dump a certain amount on them.
#sentence#: You mustve had your hands full.
",0
0,"#topic#: Job interview
#summary#: Chandler tells #The Interviewer# he was the point person on his company's transition from the KL-5 to GR-6 system. #The Interviewer# asks him about his duties. Chandler says he'll head a whole division and dump a certain amount on them.
#sentence#: That I did. That I did.
",0
0,"#topic#: Job interview
#summary#: Chandler tells #The Interviewer# he was the point person on his company's transition from the KL-5 to GR-6 system. #The Interviewer# asks him about his duties. Chandler says he'll head a whole division and dump a certain amount on them.
#sentence#: So lets talk a little bit about your duties.
",0
0,"#topic#: Job interview
#summary#: Chandler tells #The Interviewer# he was the point person on his company's transition from the KL-5 to GR-6 system. #The Interviewer# asks him about his duties. Chandler says he'll head a whole division and dump a certain amount on them.
#sentence#: My duties?  All right.
",1
0,"#topic#: Job interview
#summary#: Chandler tells #The Interviewer# he was the point person on his company's transition from the KL-5 to GR-6 system. #The Interviewer# asks him about his duties. Chandler says he'll head a whole division and dump a certain amount on them.
#sentence#: Now youll be heading a whole division, so youll have a lot of duties.
",0
0,"#topic#: Job interview
#summary#: Chandler tells #The Interviewer# he was the point person on his company's transition from the KL-5 to GR-6 system. #The Interviewer# asks him about his duties. Chandler says he'll head a whole division and dump a certain amount on them.
#sentence#: I see.
",0
0,"#topic#: Job interview
#summary#: Chandler tells #The Interviewer# he was the point person on his company's transition from the KL-5 to GR-6 system. #The Interviewer# asks him about his duties. Chandler says he'll head a whole division and dump a certain amount on them.
#sentence#: But therell be perhaps 30 people under you so you can dump a certain amount on them.
",0
0,"#topic#: Job interview
#summary#: Chandler tells #The Interviewer# he was the point person on his company's transition from the KL-5 to GR-6 system. #The Interviewer# asks him about his duties. Chandler says he'll head a whole division and dump a certain amount on them.
#sentence#: Good to know.
",0
0,"#topic#: Job interview
#summary#: Chandler tells #The Interviewer# he was the point person on his company's transition from the KL-5 to GR-6 system. #The Interviewer# asks him about his duties. Chandler says he'll head a whole division and dump a certain amount on them.
#sentence#: We can go into detail
",0
0,"#topic#: Job interview
#summary#: Chandler tells #The Interviewer# he was the point person on his company's transition from the KL-5 to GR-6 system. #The Interviewer# asks him about his duties. Chandler says he'll head a whole division and dump a certain amount on them.
#sentence#: No dont I beg of you!
",0
0,"#topic#: Job interview
#summary#: Chandler tells #The Interviewer# he was the point person on his company's transition from the KL-5 to GR-6 system. #The Interviewer# asks him about his duties. Chandler says he'll head a whole division and dump a certain amount on them.
#sentence#: All right then, well have a definite answer for you on Monday, but I think I can say with some confidence, youll fit in well here.
",0
0,"#topic#: Job interview
#summary#: Chandler tells #The Interviewer# he was the point person on his company's transition from the KL-5 to GR-6 system. #The Interviewer# asks him about his duties. Chandler says he'll head a whole division and dump a certain amount on them.
#sentence#: Really?!
",1
0,"#topic#: Job interview
#summary#: Chandler tells #The Interviewer# he was the point person on his company's transition from the KL-5 to GR-6 system. #The Interviewer# asks him about his duties. Chandler says he'll head a whole division and dump a certain amount on them.
#sentence#: Absolutely.  You can relax
",0
1,"#topic#: Forget someone
#summary#: #Rachel tells #Joey that she forgot about the date with the waitress.
#sentence#: But then who? The waitress I went out with last month?
",1
1,"#topic#: Forget someone
#summary#: #Rachel tells #Joey that she forgot about the date with the waitress.
#sentence#: You know? Forget it!
",0
1,"#topic#: Forget someone
#summary#: #Rachel tells #Joey that she forgot about the date with the waitress.
#sentence#: No-no-no-no, no! Who, who were you talking about?
",1
1,"#topic#: Forget someone
#summary#: #Rachel tells #Joey that she forgot about the date with the waitress.
#sentence#: No, I-I-I-I don't, I actually don't know
",0
1,"#topic#: Forget someone
#summary#: #Rachel tells #Joey that she forgot about the date with the waitress.
#sentence#: Ok!
",0
1,"#topic#: Forget someone
#summary#: #Rachel tells #Joey that she forgot about the date with the waitress.
#sentence#: All right, well...
",0
1,"#topic#: Forget someone
#summary#: #Rachel tells #Joey that she forgot about the date with the waitress.
#sentence#: Yeah, sure!
",0
2,"#topic#: Roommate problem
#summary#: Monica tells Chandler that Chris says they're closing down the bar. Chandler wants a beer. Monica asks if he picked a roommate.
#sentence#: Hey, Mon.
",0
2,"#topic#: Roommate problem
#summary#: Monica tells Chandler that Chris says they're closing down the bar. Chandler wants a beer. Monica asks if he picked a roommate.
#sentence#: Hey-hey-hey. You wanna hear something that sucks.
",0
2,"#topic#: Roommate problem
#summary#: Monica tells Chandler that Chris says they're closing down the bar. Chandler wants a beer. Monica asks if he picked a roommate.
#sentence#: Do I ever.
",0
